Name,Headquarters,Sector/Industry,Careers/Jobs Link,Internships
Seeing Machines,AU/Canberra,Computer Vision,https://seeingmachines.springboard.com.au/,Unknown
Institute for Transportation and Development Policy,US/NY/New York,Policy,https://www.itdp.org,Unknown
Peloton,US/CA/Mountain View,Tech/Autonomous Trucks,https://peloton-tech.com/careers/,Unknown
Skanska,SE,Construction,https://jobs.skanska.com,True
BART,US/CA/Oakland,Public Transportation Agency,http://www.bart.gov/about/jobs,True
Autonomous Intelligent Driving,DE/Munich,Tech/Autonomous Cars,http://aid-driving.eu/home/jobs/,Unknown
Renovo,US/CA/Campbell,Tech/Autonomous Cars,https://jobs.lever.co/renovo,Unknown
Einride,SE/Stockholm,Tech/Autonomous Trucks,https://einride.eu/en/career,Unknown
Samsara,US/CA/San Francisco,Tech/Sensors,https://www.samsara.com/careers,Unknown
Dataspeed,US/MI/Rochester Hill,Tech/Autonomous Cars,http://dataspeedinc.com/careers/,Unknown
Urban Footprint,US/CA/Berkeley,Tech/Software/Planning,http://jobs.urbanfootprint.com,Unknown
Phantom Auto,US/CA/Mountain View,Tech/Teleoperation,https://phantom.auto/careers/,Unknown
Polysync,US/OR/Portland,Tech/Autonomous Cars Safety,https://polysync.breezy.hr,Unknown
TuSimple,US/CA/San Diego,Autonomous Trucking,http://www.tusimple.com/join-en.html,Unknown
Circet,IE,Infrastructure,https://www.circet.ie/careers,Unknown
Sea Machines Robotics,US/MA,Autonomous Boats,https://sea-machines.com/careers,Unknown
Glydways,US/CA,Autonomous Public Transportation,https://www.glydways.com,Unknown
Swiftly,US/CA,Public Transportation Software,https://www.goswift.ly/careers,Unknown
Metropolis,US/CA,Tech/Parking,https://metropolis.io/careers,Unknown 
Parallel Systems,US/CA,Tech/Rail,https://moveparallel.com/careers/,Unknown
Populus,US/CA,Tech/Planning,https://www.populus.ai/company/careers,Unknown
UrbanFootprint,US/CA,Tech/Planning,https://urbanfootprint.com,Unknown
Libelium,ES,Tech/Sensors,https://www.libelium.com/es/trabaja-en-libelium/,Unknown
Telraam,BE,Tech/Sensors,https://telraam.net/en/jobs,Unknown
Transport API,UK,Tech/Public Transportation,https://www.transportapi.com/contact/,Unknown
Rincon Consultants,US/CA,Environmental Documents,https://www.rinconconsultants.com/careers/,Unknown
Skyryse,US/CA/Los Angeles,Aerospace,https://skyryse.com/careers,Unknown
Federal Transit Administration,US,Public Transportation,https://www.transit.dot.gov/about/jobs/jobs,Unknown
Felt,US/CA/Oakland,Tech/Maps,https://felt.com/careers,Unknown
INRO,Canada/Montreal,Tech/Transportation Planning Software,https://www.inrosoftware.com/en/about-inro/careers/,Unknown
Bentley,US/PA,Tech/Transportation Planning Software,https://www.bentley.com/en/about-us/careers,Unknown
Urban Labs,US/WA/Seattle,Tech/Transportation Planning,http://urbanlabs.io,Unknown
Hayden AI,US/CA/Oakland,Tech/AI,https://boards.greenhouse.io/haydenai,Unknown
HNTB,US/MO/Kansas City,Design/Build,https://www.hntb.com/careers/,Unknown
Sabre,US/TX,Tech/Travel,https://www.sabre.com/careers/,Unknown
Amadeus,ES/Madrid,Tech/Travel,https://jobs.amadeus.com,Unknown
Teralytics,US/CA/Sacramento,Tech/Traffic Modeling,https://teralytics.net,Unknown
UrbanSim,US/WA/Seattle,Tech/Transportation Planning,https://www.urbansim.com,Unknown
HBA Specto,CA/Calgary,Tech/Transportation Planning,http://www.hbaspecto.com,Unknown
Insight Transportation Consulting,US/FL/Parkland,Tech/Transportation Planning,https://insighttransportconsulting.com/careers,Unknown
Bettermile,DE/Berlin,Tech/Logistics,https://bettermile.com/careers,Unknown
Applied Intuition,US/CA/Mountain View,Tech/Simulation,https://www.appliedintuition.com/careers,Unknown
Hatch LTK,CA/Mississauga,Rail,https://www.ltk.com/careers,Unknown
Saildrone,US/CA/Alameda,Tech/Marine,https://www.saildrone.com/careers,True
Halo.Car,US/NV/Las Vegas,Tech/Teleoperation,https://www.halo.car/careers,Unknown
InfraStrategies,US/CA/Los Angeles,Infrastructure/Strategy,https://www.infrastrategies.com,Unknown
Replica,US/KS,Tech/Data,https://www.replicahq.com/careers,Unknown
CDM Smith,US/MA/Boston,Planning,https://www.cdmsmith.com,True
RS&H,US/FL/Jacksonville,Planning,https://www.rsandh.com/careers/,Unknown
Ample,US/CA/SF,Battery Swapping,https://ample.com,Unknown
